,EdLevel,Country,YearsCodePro,Salary
9,Master’s degree,Sweden,4.0,51552.0
11,Bachelor’s degree,Spain,5.0,46482.0
12,Master’s degree,Germany,6.0,77290.0
16,Bachelor’s degree,Turkey,2.0,17748.0
17,Bachelor’s degree,Canada,6.0,46135.0
23,Master’s degree,France,2.0,38915.0
24,Master’s degree,Germany,18.0,77831.0
26,Master’s degree,Switzerland,5.0,81319.0
27,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,21.0,68507.0
29,Master’s degree,Russian Federation,16.0,37752.0
31,Bachelor’s degree,Israel,2.0,122580.0
33,Bachelor’s degree,Turkey,2.0,11832.0
35,Master’s degree,Germany,10.0,60535.0
36,Bachelor’s degree,United States of America,0.5,103000.0
41,Master’s degree,France,3.0,25944.0
45,Bachelor’s degree,Brazil,15.0,60480.0
55,Master’s degree,United Kingdom of Great Britain and Northern Ireland,12.0,64630.0
57,Master’s degree,Italy,16.0,54049.0
58,Post grad,Russian Federation,3.0,22644.0
62,Bachelor’s degree,United States of America,5.0,130000.0
67,Less than a Bachelors,Canada,10.0,71850.0
68,Master’s degree,Spain,10.0,58373.0
69,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,18.0,129266.0
70,Master’s degree,Netherlands,2.0,25944.0
75,Bachelor’s degree,United States of America,15.0,105000.0
76,Bachelor’s degree,Poland,8.0,45564.0
77,Post grad,Canada,8.0,151263.0
81,Bachelor’s degree,Sweden,3.0,40500.0
86,Less than a Bachelors,Canada,17.0,95295.0
87,Post grad,United States of America,1.0,100000.0
88,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,14.0,61398.0
91,Less than a Bachelors,Netherlands,10.0,108098.0
97,Bachelor’s degree,Poland,4.0,27336.0
105,Master’s degree,Switzerland,26.0,134176.0
106,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,3.0,64630.0
108,Less than a Bachelors,Spain,8.0,38915.0
114,Master’s degree,Italy,2.0,14268.0
116,Bachelor’s degree,Netherlands,2.0,43239.0
118,Bachelor’s degree,United States of America,6.0,140000.0
119,Master’s degree,France,2.0,45401.0
124,Less than a Bachelors,Israel,5.0,101916.0
128,Bachelor’s degree,United States of America,1.0,54000.0
130,Less than a Bachelors,Netherlands,5.0,36324.0
136,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,3.0,38778.0
137,Master’s degree,Canada,5.0,63530.0
143,Bachelor’s degree,United States of America,34.0,200000.0
145,Master’s degree,Germany,11.0,97288.0
146,Post grad,Russian Federation,5.0,75492.0
150,Master’s degree,France,5.0,49725.0
152,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,25.0,70047.0
153,Bachelor’s degree,United States of America,4.0,98500.0
155,Bachelor’s degree,United States of America,24.0,115000.0
156,Master’s degree,Switzerland,6.0,43908.0
160,Bachelor’s degree,Israel,4.0,105072.0
161,Post grad,United Kingdom of Great Britain and Northern Ireland,22.0,71093.0
170,Master’s degree,Canada,3.0,98321.0
172,Less than a Bachelors,Italy,14.0,54049.0
175,Bachelor’s degree,Russian Federation,6.0,56616.0
180,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,25.0,60752.0
182,Bachelor’s degree,Poland,3.0,16704.0
186,Master’s degree,United Kingdom of Great Britain and Northern Ireland,13.0,84019.0
190,Master’s degree,United States of America,9.0,70000.0
198,Master’s degree,Russian Federation,2.0,30192.0
199,Less than a Bachelors,United States of America,5.0,90000.0
203,Bachelor’s degree,Netherlands,6.0,50592.0
206,Master’s degree,United States of America,2.0,193000.0
209,Master’s degree,Australia,2.0,96874.0
210,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,14.0,77556.0
212,Less than a Bachelors,Switzerland,22.0,121979.0
213,Post grad,Russian Federation,9.0,75492.0
223,Bachelor’s degree,Russian Federation,26.0,43404.0
226,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,7.0,103408.0
227,Master’s degree,France,5.0,44320.0
234,Bachelor’s degree,United States of America,22.0,165000.0
237,Less than a Bachelors,Germany,5.0,51888.0
244,Master’s degree,France,9.0,64859.0
245,Less than a Bachelors,Germany,3.0,42158.0
246,Bachelor’s degree,Germany,7.0,32424.0
249,Bachelor’s degree,United States of America,2.0,60000.0
252,Post grad,France,12.0,35028.0
258,Post grad,Germany,8.0,74588.0
261,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,3.0,50153.0
262,Master’s degree,India,11.0,30716.0
263,Master’s degree,France,7.0,77831.0
268,Master’s degree,Germany,2.0,54049.0
271,Master’s degree,France,7.0,41077.0
275,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,2.0,19389.0
276,Master’s degree,France,15.0,77831.0
278,Bachelor’s degree,United States of America,13.0,160000.0
285,Bachelor’s degree,United States of America,9.0,107972.0
290,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,6.0,48472.0
292,Bachelor’s degree,United States of America,16.0,120000.0
300,Post grad,Spain,5.0,32429.0
301,Master’s degree,Spain,10.0,12972.0
305,Bachelor’s degree,Spain,4.0,28105.0
312,Post grad,United Kingdom of Great Britain and Northern Ireland,4.0,51704.0
318,Bachelor’s degree,Germany,15.0,70264.0
323,Master’s degree,United States of America,13.0,115000.0
324,Bachelor’s degree,United States of America,12.0,144000.0
327,Master’s degree,Germany,21.0,70264.0
332,Less than a Bachelors,Canada,34.0,181515.0
333,Bachelor’s degree,Sweden,26.0,81000.0
334,Less than a Bachelors,United States of America,22.0,105000.0
335,Master’s degree,Germany,5.0,56211.0
336,Master’s degree,United Kingdom of Great Britain and Northern Ireland,7.0,64630.0
337,Bachelor’s degree,Turkey,3.0,35508.0
338,Less than a Bachelors,Germany,11.0,64859.0
345,Master’s degree,United States of America,10.0,110000.0
347,Bachelor’s degree,United States of America,15.0,120000.0
351,Less than a Bachelors,Germany,6.0,48644.0
354,Master’s degree,Poland,11.0,54672.0
356,Less than a Bachelors,Netherlands,4.0,35676.0
359,Bachelor’s degree,Canada,4.0,75631.0
363,Less than a Bachelors,United States of America,39.0,70000.0
364,Master’s degree,Germany,9.0,58373.0
368,Less than a Bachelors,United States of America,4.0,58000.0
369,Bachelor’s degree,Germany,6.0,61616.0
371,Post grad,France,13.0,59454.0
373,Post grad,Sweden,3.0,55224.0
374,Master’s degree,Canada,6.0,68068.0
377,Bachelor’s degree,United States of America,4.0,74000.0
379,Post grad,Netherlands,14.0,118908.0
380,Less than a Bachelors,United States of America,1.0,40000.0
382,Bachelor’s degree,Canada,8.0,71850.0
383,Bachelor’s degree,Canada,14.0,66934.0
393,Less than a Bachelors,United States of America,7.0,63385.0
396,Less than a Bachelors,Switzerland,1.0,54888.0
398,Master’s degree,United States of America,20.0,108000.0
399,Less than a Bachelors,Germany,7.0,58373.0
402,Master’s degree,Russian Federation,20.0,56616.0
406,Master’s degree,United Kingdom of Great Britain and Northern Ireland,24.0,55582.0
409,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,27.0,71093.0
413,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,21.0,60752.0
421,Less than a Bachelors,Poland,20.0,30372.0
432,Post grad,United States of America,6.0,90000.0
433,Bachelor’s degree,United States of America,3.0,67000.0
434,Bachelor’s degree,India,4.0,21676.0
435,Master’s degree,Switzerland,16.0,101649.0
437,Less than a Bachelors,United States of America,16.0,195000.0
439,Post grad,United Kingdom of Great Britain and Northern Ireland,23.0,155111.0
441,Bachelor’s degree,France,12.0,123228.0
450,Less than a Bachelors,Russian Federation,1.0,28308.0
456,Bachelor’s degree,Italy,12.0,17508.0
458,Master’s degree,France,3.0,48644.0
459,Bachelor’s degree,Sweden,5.0,54769.0
460,Bachelor’s degree,Poland,5.0,45564.0
463,Master’s degree,United States of America,12.0,29000.0
464,Less than a Bachelors,United States of America,6.0,170000.0
465,Bachelor’s degree,Turkey,3.0,19728.0
469,Bachelor’s degree,United States of America,4.0,70000.0
473,Less than a Bachelors,United States of America,2.0,40000.0
474,Bachelor’s degree,Netherlands,4.0,40212.0
475,Less than a Bachelors,Canada,7.0,90758.0
477,Master’s degree,United Kingdom of Great Britain and Northern Ireland,6.0,54224.0
478,Master’s degree,Switzerland,7.0,81319.0
481,Bachelor’s degree,United States of America,4.0,85000.0
482,Bachelor’s degree,Germany,1.0,64859.0
485,Master’s degree,Netherlands,30.0,62268.0
487,Less than a Bachelors,Canada,5.0,31750.0
489,Master’s degree,United States of America,2.0,100000.0
491,Bachelor’s degree,United States of America,3.0,92000.0
492,Bachelor’s degree,Spain,4.0,34591.0
493,Less than a Bachelors,Switzerland,10.0,92500.0
494,Master’s degree,United States of America,12.0,135000.0
495,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,5.0,71093.0
499,Bachelor’s degree,United States of America,4.0,150000.0
500,Bachelor’s degree,United States of America,19.0,65000.0
503,Post grad,Spain,20.0,64859.0
509,Less than a Bachelors,India,10.0,16416.0
512,Bachelor’s degree,Italy,3.0,35672.0
516,Bachelor’s degree,Germany,3.0,59454.0
518,Master’s degree,France,9.0,45396.0
526,Post grad,United States of America,35.0,110000.0
532,Master’s degree,Turkey,2.0,18080.0
533,Bachelor’s degree,Germany,3.0,31128.0
534,Bachelor’s degree,Brazil,12.0,96204.0
536,Master’s degree,France,6.0,88640.0
538,Less than a Bachelors,Spain,2.0,20539.0
539,Master’s degree,United States of America,21.0,190000.0
540,Post grad,United Kingdom of Great Britain and Northern Ireland,10.0,49765.0
541,Master’s degree,France,10.0,48644.0
544,Bachelor’s degree,United States of America,8.0,57765.0
545,Bachelor’s degree,United States of America,3.0,40000.0
546,Less than a Bachelors,United States of America,2.0,37440.0
547,Bachelor’s degree,Canada,9.0,83194.0
556,Bachelor’s degree,Switzerland,13.0,111814.0
560,Master’s degree,United States of America,4.0,133000.0
562,Less than a Bachelors,Germany,13.0,69183.0
564,Bachelor’s degree,Norway,6.0,64737.0
565,Less than a Bachelors,Italy,8.0,47563.0
566,Bachelor’s degree,Netherlands,12.0,118908.0
569,Master’s degree,France,6.0,69183.0
